Prompt
"('Can you create a LinkedIn post: summarize the text: {text}; In the post use these parameters:use friendly tone, use intermediate English, use short length of post,use emoticons,targeted at software developer, use 3 hashtags that are already existing, popular and relevant, written from a third person objective perspective', 'use words with one or two syllables where possible', 'use sentences with one or no conjunctions', 'use popular terms', 'do not use passive voice')"
"('Can you create a LinkedIn post: summarize the text: {text}; In the post use these parameters:use engaging tone, use intermediate English, use short length of post,do not use emoticons,targeted at researcher, use hastags, written from a first person singular perspective', 'use words with one or two syllables where possible', 'use sentences with one or no conjunctions', 'use popular terms', 'do not use passive voice')"
"('Can you create a LinkedIn post: summarize the text: {text}; In the post use these parameters:use Personal tone, use beginner English, use very short length of post,use emoticons,targeted at high school student, use hastags, written from a third person objective perspective', 'use words with one or two syllables where possible', 'use sentences with one or no conjunctions', 'use popular terms', 'do not use passive voice')"
"('Can you create a LinkedIn post: summarize the text: {text}; In the post use these parameters:use humorous tone, use intermediate English, use very short length of post,use emoticons,targeted at IT professional, use 3 hashtags that are already existing, popular and relevant, written from a first person singular perspective', 'use words with one or two syllables where possible', 'use sentences with one or no conjunctions', 'use popular terms', 'do not use passive voice')"
"('Can you create a LinkedIn post: summarize the text: {text}; In the post use these parameters:use Optimistic tone, use intermediate English, use short length of post,do not use emoticons,targeted at researcher, use hastags, written from a third person objective perspective', 'use words with one or two syllables where possible', 'use sentences with one or no conjunctions', 'use popular terms', 'do not use passive voice')"
"('Can you create a LinkedIn post: summarize the text: {text}; In the post use these parameters:use informal tone, use beginner English, use short length of post,use emoticons,targeted at non-profit organization member, use 3 hashtags that are already existing, popular and relevant, written from a third person objective perspective', 'use words with one or two syllables where possible', 'use sentences with one or no conjunctions', 'use popular terms', 'do not use passive voice')"
"('Can you create a LinkedIn post: summarize the text: {text}; In the post use these parameters:use neutral tone, use beginner English, use very short length of post,do not use emoticons,targeted at IT professional, use 3 hashtags that are already existing, popular and relevant, written from a second person perspective', 'use words with one or two syllables where possible', 'use sentences with one or no conjunctions', 'use popular terms', 'do not use passive voice')"
"('Can you create a LinkedIn post: summarize the text: {text}; In the post use these parameters:use humorous tone, use intermediate English, use short length of post,use emoticons,targeted at entrepreneur, use 3 hashtags that are already existing, popular and relevant, written from a third person objective perspective', 'use words with one or two syllables where possible', 'use sentences with one or no conjunctions', 'use popular terms', 'do not use passive voice')"
"('Can you create a LinkedIn post: summarize the text: {text}; In the post use these parameters:use Authoritative tone, use intermediate English, use very short length of post,use emoticons,targeted at non-profit organization member, use hastags, written from a second person perspective', 'use words with one or two syllables where possible', 'use sentences with one or no conjunctions', 'use popular terms', 'do not use passive voice')"
"('Can you create a LinkedIn post: summarize the text: {text}; In the post use these parameters:use persuasive tone, use intermediate English, use very short length of post,do not use emoticons,targeted at journalist, use hastags, written from a first person singular perspective', 'use words with one or two syllables where possible', 'use sentences with one or no conjunctions', 'use popular terms', 'do not use passive voice')"
